Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,ActivationFunction,AverageFitness
227,-0.1500,0.1500,100,68,0.5500,0.4000,0.2000,SELU,0.1040
228,-0.8500,0.8500,500,312,0.3000,0.7500,0.2500,SELU,0.1006
229,-1.0500,1.0500,200,95,0.4500,0.6000,0.2000,SELU,0.0908
230,-0.1500,0.1500,100,64,0.4500,0.7000,0.4000,SELU,0.1213
231,-0.9000,0.9000,100,72,0.4500,0.5000,0.2500,SELU,0.1243
232,-0.2000,0.2000,100,55,0.4000,0.5000,0.4000,SELU,0.1254
233,-0.6000,0.6000,800,492,0.5500,0.4500,0.3000,TANH,0.0932
234,-0.1000,0.1000,700,370,0.3000,0.6000,0.3000,SELU,0.1110
235,-0.3500,0.3500,800,452,0.2500,0.6500,0.2000,SELU,0.0774
236,-0.4000,0.4000,100,57,0.6000,0.3500,0.4500,SELU,0.1563
237,-0.8500,0.8500,100,43,0.3000,0.3000,0.3000,SELU,0.1334
238,-0.4500,0.4500,200,126,0.6500,0.6000,0.3500,SELU,0.0948
239,-0.7000,0.7000,800,349,0.6500,0.6000,0.6000,SELU,0.1073
240,-0.2000,0.2000,500,249,0.5000,0.6500,0.5000,SELU,0.1469
241,-0.4000,0.4000,100,63,0.3000,0.5000,0.4000,SELU,0.1403
242,-0.3000,0.3000,300,198,0.7000,0.3500,0.2000,SELU,0.0808
243,-0.9000,0.9000,700,358,0.7000,0.5500,0.5000,TANH,0.1248
244,-0.5000,0.5000,400,282,0.6500,0.4500,0.5000,SELU,0.0838
245,-0.7000,0.7000,900,355,0.6000,0.5000,0.5500,TANH,0.1713
246,-0.0500,0.0500,200,74,0.3000,0.5000,0.5000,TANH,0.1123
247,-0.2000,0.2000,400,199,0.2000,0.3000,0.3000,TANH,0.0965
248,-0.1500,0.1500,300,119,0.6000,0.7000,0.1500,SELU,0.0738
249,-0.9000,0.9000,800,359,0.2500,0.5000,0.5000,TANH,0.1195
250,-0.8500,0.8500,700,316,0.5500,0.3000,0.3500,SELU,0.0900
251,-0.3500,0.3500,400,259,0.5500,0.4500,0.6000,TANH,0.1397
252,-0.9500,0.9500,900,425,0.4000,0.5500,0.2000,TANH,0.0880
253,-0.7500,0.7500,600,266,0.3000,0.5500,0.3000,SELU,0.1064
254,-1.0500,1.0500,800,487,0.2000,0.4500,0.3000,TANH,0.1374
255,-0.3000,0.3000,800,342,0.3000,0.5000,0.2000,SELU,0.0621
256,-0.3000,0.3000,700,317,0.2000,0.6000,0.3000,SELU,0.1223
257,-0.5500,0.5500,100,71,0.3000,0.6000,0.2000,SELU,0.0884
258,-1.0000,1.0000,900,500,0.5500,0.4500,0.2000,TANH,0.0615
