Iteration,MinGene,MaxGene,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,MutateChangeBest,AverageFitness
241,0.5465,-0.5465,308,0.6206,0.2912,0.2868,0.5151,0.2682
242,0.2859,-0.2859,260,0.6541,0.3671,0.1568,0.4012,0.3002
243,0.4785,-0.4785,306,0.6000,0.3859,0.1655,0.5209,0.2495
244,0.3553,-0.3553,318,0.5862,0.3910,0.1888,0.4388,0.2825
245,0.2630,-0.2630,288,0.6668,0.3044,0.2646,0.4082,0.2636
246,0.3606,-0.3606,314,0.5906,0.4018,0.1805,0.4631,0.2312
247,0.4793,-0.4793,275,0.6008,0.3215,0.2005,0.4997,0.2407
248,0.4129,-0.4129,300,0.5232,0.3380,0.2896,0.4771,0.2126
249,0.4814,-0.4814,271,0.5116,0.3816,0.2640,0.5361,0.2705
250,0.4991,-0.4991,268,0.6251,0.3297,0.2274,0.5155,0.2351
251,0.4074,-0.4074,277,0.5014,0.3918,0.2810,0.5182,0.1834
252,0.4287,-0.4287,261,0.6228,0.2811,0.1945,0.5249,0.2471
253,0.5091,-0.5091,283,0.5978,0.3718,0.2586,0.4902,0.2210
254,0.3023,-0.3023,261,0.6695,0.3466,0.1950,0.5383,0.2399
255,0.4498,-0.4498,272,0.6740,0.3301,0.2729,0.5309,0.1832
256,0.5227,-0.5227,297,0.6574,0.3038,0.2395,0.5422,0.2318
257,0.3633,-0.3633,297,0.5166,0.4013,0.2704,0.4200,0.1808
258,0.5112,-0.5112,291,0.5066,0.2976,0.2272,0.5111,0.2430
259,0.2775,-0.2775,285,0.6388,0.3646,0.2866,0.4558,0.1911
260,0.2919,-0.2919,277,0.6020,0.3845,0.1642,0.5137,0.2477
261,0.2968,-0.2968,271,0.6074,0.3102,0.2293,0.5322,0.2092
262,0.5552,-0.5552,282,0.5568,0.3778,0.1734,0.4782,0.2215
263,0.5593,-0.5593,286,0.5304,0.3450,0.2359,0.4907,0.2451
264,0.5955,-0.5955,315,0.6959,0.3572,0.1606,0.4026,0.2164
265,0.2213,-0.2213,273,0.5193,0.3448,0.2369,0.5059,0.2315
266,0.2624,-0.2624,263,0.5629,0.4105,0.1439,0.4634,0.2339
267,0.3726,-0.3726,279,0.5049,0.2951,0.2820,0.5335,0.2389
268,0.3899,-0.3899,266,0.5340,0.2887,0.2576,0.5488,0.2131
269,0.3956,-0.3956,289,0.5132,0.3128,0.2076,0.4400,0.2464
270,0.5409,-0.5409,264,0.6729,0.4165,0.2187,0.4643,0.2065
271,0.2685,-0.2685,280,0.6094,0.3192,0.2777,0.4206,0.2054
272,0.2240,-0.2240,295,0.5384,0.3592,0.2034,0.4672,0.2536
273,0.4838,-0.4838,278,0.6336,0.3206,0.2460,0.4542,0.2409
274,0.5379,-0.5379,280,0.6102,0.4127,0.2659,0.4932,0.1913
275,0.4326,-0.4326,317,0.5102,0.4177,0.1739,0.5483,0.2086
276,0.4834,-0.4834,306,0.5917,0.3269,0.1564,0.5259,0.2649
277,0.2412,-0.2412,307,0.5253,0.3871,0.1444,0.5484,0.2590
278,0.4403,-0.4403,315,0.5720,0.3755,0.2878,0.5249,0.2214
279,0.4754,-0.4754,292,0.6405,0.3181,0.1572,0.4327,0.1731
280,0.2619,-0.2619,267,0.5289,0.3038,0.2282,0.4662,0.2542
281,0.3357,-0.3357,296,0.5551,0.3506,0.2269,0.5246,0.2455
