Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,ActivationFunction,AverageFitness
362,-0.95,0.95,300,118,0.4,0.4,0.5,TANH,0.1436
363,-0.85,0.85,700,239,0.7,0.7,0.5,TANH,0.1266
364,-0.1,0.1,800,267,0.6,0.5,0.6,TANH,0.1075
365,-0.2,0.2,100,69,0.5,0.8,0.2,TANH,0.1008
366,-0.75,0.75,500,273,0.6,0.7,0.6,TANH,0.1726
367,-1.05,1.05,200,78,0.7,0.7,0.6,TANH,0.0947
368,-0.7,0.7,300,101,0.2,0.4,0.4,TANH,0.1177
369,-1,1,500,204,0.3,0.3,0.5,TANH,0.1569
370,-0.85,0.85,800,280,0.2,0.3,0.5,TANH,0.0816
371,-0.9,0.9,200,67,0.7,0.7,0.4,TANH,0.1176
372,-0.95,0.95,200,148,0.5,0.6,0.6,TANH,0.1148
373,-1,1,200,95,0.4,0.6,0.4,TANH,0.1001
374,-0.65,0.65,100,48,0.5,0.4,0.3,TANH,0.1041
375,-0.05,0.05,100,72,0.6,0.6,0.4,TANH,0.1894
376,-0.55,0.55,100,39,0.5,0.3,0.5,TANH,0.1577
377,-0.85,0.85,200,77,0.3,0.5,0.6,TANH,0.1173
378,-0.45,0.45,100,80,0.3,0.5,0.5,TANH,0.1317
379,-0.3,0.3,1100,471,0.4,0.4,0.2,TANH,0.0987
380,-0.65,0.65,800,597,0.3,0.7,0.5,TANH,0.1088
381,-0.65,0.65,200,83,0.4,0.4,0.3,TANH,0.1537
382,-0.15,0.15,800,360,0.6,0.7,0.2,TANH,0.118
